Period,Window,Factor,Type,Ann_Return,Ann_Volatility,Sharpe_Ratio,Max_Drawdown
Full (2005-2025),21d,mkt_rf,Original,0.13720190339529068,0.2737581928480723,0.501179168257564,0.7383671326784844
Full (2005-2025),21d,mkt_rf,VMP_Gross,0.05362373070686728,0.2554016420619205,0.20995844143346012,0.7809809952658764
Full (2005-2025),21d,mkt_rf,VMP_Net,0.03515643135365472,0.25538557296576786,0.13766020901410558,0.8132395843066687
Full (2005-2025),21d,smb,Original,0.09624836543883764,0.13030925378791955,0.7386149689375355,0.4931062484867484
Full (2005-2025),21d,smb,VMP_Gross,0.030993830246812782,0.12067954814971901,0.25682752978458967,0.7123044367021784
Full (2005-2025),21d,smb,VMP_Net,0.013083748725593277,0.12077182834043,0.10833444277015483,0.7372260731789787
Full (2005-2025),21d,hml,Original,0.019469846885132962,0.10820693842002434,0.1799315937537879,0.40528836486238035
Full (2005-2025),21d,hml,VMP_Gross,0.03515000886825408,0.1023199400894619,0.34353038945801967,0.4489359935223214
Full (2005-2025),21d,hml,VMP_Net,0.01791121067190832,0.10235323112142045,0.17499409130191954,0.4770333027269119
Full (2005-2025),21d,rmw,Original,-0.01566387628252025,0.13878491313415484,-0.11286440239638255,0.6778637350238991
Full (2005-2025),21d,rmw,VMP_Gross,0.02995391948397451,0.1330236838390461,0.22517734150422178,0.6677945943701237
Full (2005-2025),21d,rmw,VMP_Net,0.011128691683834228,0.13297398707669109,0.08369074229094067,0.7176217803351509
Full (2005-2025),21d,cma,Original,0.0004568683304155063,0.10628244234165214,0.004298624686727389,0.5772821638029086
Full (2005-2025),21d,cma,VMP_Gross,-0.003632259206248581,0.09840769982202698,-0.03691031507511731,0.4997117055792612
Full (2005-2025),21d,cma,VMP_Net,-0.020712132961377288,0.09845371041988778,-0.21037432589430788,0.5489402579832284
Full (2005-2025),21d,umd,Original,-0.018866724172304696,0.16610237891567467,-0.11358491248269709,0.7705110930625452
Full (2005-2025),21d,umd,VMP_Gross,0.08473014448325218,0.15374977854711525,0.5510911643836117,0.49752880885256107
Full (2005-2025),21d,umd,VMP_Net,0.06765931453138758,0.1536816360367147,0.4402563395097102,0.5593009876788155
In-Sample (2010-2019),21d,mkt_rf,Original,0.046914473220706895,0.2551058728878113,0.18390197250119217,0.5737605324798573
In-Sample (2010-2019),21d,mkt_rf,VMP_Gross,-0.004168570546783786,0.2524096913190302,-0.01651509704322316,0.6715345829314343
In-Sample (2010-2019),21d,mkt_rf,VMP_Net,-0.02329562563053227,0.25246158872784874,-0.0922739405543579,0.6985669442361391
In-Sample (2010-2019),21d,smb,Original,0.09954360761295747,0.1143070339665554,0.8708441130760379,0.3730942331852552
In-Sample (2010-2019),21d,smb,VMP_Gross,0.04949468485909717,0.13268544887751998,0.37302270352783745,0.6278368868360643
In-Sample (2010-2019),21d,smb,VMP_Net,0.029048112861316845,0.13278160836992714,0.2187660867941088,0.6495977747092787
In-Sample (2010-2019),21d,hml,Original,-0.011477100383991124,0.1039135404203012,-0.1104485549964852,0.32041037036827635
In-Sample (2010-2019),21d,hml,VMP_Gross,0.02188197146406372,0.10932238829179845,0.2001600203396338,0.41627344862451937
In-Sample (2010-2019),21d,hml,VMP_Net,0.00213009886857953,0.10932199167117912,0.019484632835692236,0.44784586236427565
In-Sample (2010-2019),21d,rmw,Original,-0.004225820358945799,0.13782335530103054,-0.030661133954516355,0.5414989833832772
In-Sample (2010-2019),21d,rmw,VMP_Gross,0.04496055488840534,0.14404279760361927,0.3121333078529131,0.6355365019980392
In-Sample (2010-2019),21d,rmw,VMP_Net,0.024368428189938913,0.14398284869303019,0.16924535395109544,0.6546810157758842
In-Sample (2010-2019),21d,cma,Original,-0.006409921513656608,0.08786912286591242,-0.07294850915307415,0.3292217693779286
In-Sample (2010-2019),21d,cma,VMP_Gross,0.029503806188469702,0.11075199431625407,0.2663952587997749,0.3996941176229571
In-Sample (2010-2019),21d,cma,VMP_Net,0.009394600838695618,0.11078746488427907,0.08479840971637512,0.44428056876961924
In-Sample (2010-2019),21d,umd,Original,-0.006354017333295112,0.15525792338494152,-0.0409255591905681,0.6232864809148214
In-Sample (2010-2019),21d,umd,VMP_Gross,0.12275774853702334,0.1689622040408659,0.7265396970516119,0.4975288088525624
In-Sample (2010-2019),21d,umd,VMP_Net,0.10341284933080949,0.16889239717071547,0.6123002045277407,0.51456429467917
Out-of-Sample (2020-2025),21d,mkt_rf,Original,0.08138905686059562,0.19509521053428763,0.41717608872972123,0.3456758643867941
Out-of-Sample (2020-2025),21d,mkt_rf,VMP_Gross,-0.03972468283858096,0.3132827103915039,-0.12680138903592134,0.7809809952658767
Out-of-Sample (2020-2025),21d,mkt_rf,VMP_Net,-0.06424181981394284,0.31318487320837013,-0.20512427422125545,0.7970545162097977
Out-of-Sample (2020-2025),21d,smb,Original,0.08130916470965745,0.1588300936873913,0.5119254344185542,0.32864439183754257
Out-of-Sample (2020-2025),21d,smb,VMP_Gross,0.0007535804559120068,0.10478541323226263,0.007191654187989451,0.310772854699194
Out-of-Sample (2020-2025),21d,smb,VMP_Net,-0.014213366235854353,0.10478749656145063,-0.13563990649895138,0.3290792050457386
Out-of-Sample (2020-2025),21d,hml,Original,0.0338551809487247,0.12630087678953061,0.2680518283744095,0.2489500344456569
Out-of-Sample (2020-2025),21d,hml,VMP_Gross,0.025648811259462678,0.08076098404810504,0.3175891374006171,0.23690238286649482
Out-of-Sample (2020-2025),21d,hml,VMP_Net,0.013548140175056652,0.08077685530502153,0.16772304546763442,0.2464219338511247
Out-of-Sample (2020-2025),21d,rmw,Original,-0.018013756062696663,0.13271479124685742,-0.13573284404441402,0.45489472829803623
Out-of-Sample (2020-2025),21d,rmw,VMP_Gross,0.04111836257344412,0.12899778899101452,0.3187524599844751,0.35490920423028577
Out-of-Sample (2020-2025),21d,rmw,VMP_Net,0.022229118655947865,0.1290008858133988,0.17231756600572906,0.3871178342168528
