Period,Factor,Alpha_Annualized,t_stat,p_value,Beta,R_squared
Full (2005-2025),mkt_rf,-0.04556684573259009,-0.9797800665265458,0.32724208786913334,0.6539947054236804,0.42770907472220665
Full (2005-2025),smb,-0.03953640262674582,-1.9312164927916327,0.05351273142447265,0.7149396770989458,0.5111387418903446
Full (2005-2025),hml,0.02424085421643696,1.4393071518920972,0.15012610367486035,0.7205541728056423,0.5191983159476239
Full (2005-2025),rmw,0.05041858846481117,2.403953794045933,0.016254979861291097,0.7394057075892758,0.5467208004155975
Full (2005-2025),cma,0.012413672299108568,0.7496184040595555,0.4535198235810707,0.7198045919206347,0.518118650550031
Full (2005-2025),umd,0.09769920602567997,3.8294627837678212,0.00012999470160229918,0.7292135576755043,0.5317524126977655
In-Sample (2010-2019),mkt_rf,-0.05137258732818347,-0.7985077814321967,0.42465394311102467,0.728404706484267,0.4638747508778027
In-Sample (2010-2019),smb,-0.04694014139097318,-1.4074841053306077,0.15941183884415533,0.9394717031392519,0.518878787742098
In-Sample (2010-2019),hml,0.027874233836433157,1.0783690492795739,0.28097616898611305,0.7987881568216799,0.5167748507887915
In-Sample (2010-2019),rmw,0.06660669468576197,1.8507614521915112,0.06432521221775601,0.7737292841998165,0.4765795940767633
In-Sample (2010-2019),cma,0.06988114959148505,2.580118105120396,0.009934879870691367,1.0479522047372587,0.5451901506328432
In-Sample (2010-2019),umd,0.12631516760775618,2.888326782915497,0.0039072484631789365,0.8584972469436084,0.49065503220123896
Out-of-Sample (2020-2025),mkt_rf,-0.1640329421900989,-1.8888283344975878,0.05912497745999792,1.3877437747756398,0.6402779550242601
Out-of-Sample (2020-2025),smb,-0.038738117660892225,-1.2762743360599187,0.20207392940589822,0.4856979930592457,0.5419965738074811
Out-of-Sample (2020-2025),hml,0.007726632476809237,0.38934783217737295,0.6970791042415881,0.5238196264966565,0.6704586115266058
Out-of-Sample (2020-2025),rmw,0.055491626840148744,1.7738125895238328,0.07631527306488045,0.8068139344900477,0.6819437358584265
Out-of-Sample (2020-2025),cma,-0.017382314205358594,-0.8120964119700002,0.4168767776839921,0.47549697927829576,0.6109768340901984
Out-of-Sample (2020-2025),umd,0.05635096041552486,1.571673867267847,0.11625610444951555,0.5717963999285406,0.6168081263697893
