Period,Factor,Type,Ann_Return,Ann_Volatility,Sharpe_Ratio,Max_Drawdown
Full (2005-2025),mkt_rf,Original,0.13720190339529068,0.2737581928480723,0.501179168257564,0.7383671326784844
Full (2005-2025),mkt_rf,VMP,0.04416247266198116,0.2737581928480723,0.16131927305090746,0.8337500480451295
Full (2005-2025),smb,Original,0.09624836543883764,0.13030925378791955,0.7386149689375355,0.4931062484867484
Full (2005-2025),smb,VMP,0.029275372681398123,0.13030925378791958,0.22466073460173647,0.7441463319064424
Full (2005-2025),hml,Original,0.019469846885132962,0.10820693842002434,0.1799315937537879,0.40528836486238035
Full (2005-2025),hml,VMP,0.03826993363340646,0.10820693842002434,0.35367356467341265,0.4756638796794793
Full (2005-2025),rmw,Original,-0.01566387628252025,0.13878491313415484,-0.11286440239638255,0.6778637350238991
Full (2005-2025),rmw,VMP,0.038836628938543394,0.13878491313415486,0.27983321862227495,0.6401975844061193
Full (2005-2025),cma,Original,0.0004568683304155063,0.10628244234165214,0.004298624686727389,0.5772821638029086
Full (2005-2025),cma,VMP,0.012742528221244769,0.10628244234165214,0.1198930692642821,0.5036501363056232
Full (2005-2025),umd,Original,-0.018866724172304696,0.16610237891567467,-0.11358491248269709,0.7705110930625452
Full (2005-2025),umd,VMP,0.08394133497031124,0.16610237891567467,0.5053590172415641,0.5582499506979329
In-Sample (2010-2019),mkt_rf,Original,0.046914473220706895,0.2551058728878113,0.18390197250119217,0.5737605324798573
In-Sample (2010-2019),mkt_rf,VMP,-0.017199864231990516,0.2728304460131846,-0.06304231981191472,0.6748218041774073
In-Sample (2010-2019),smb,Original,0.09954360761295747,0.1143070339665554,0.8708441130760379,0.3730942331852552
In-Sample (2010-2019),smb,VMP,0.046578261189797375,0.14908148194103474,0.3124349220530299,0.6687819162875237
In-Sample (2010-2019),hml,Original,-0.011477100383991124,0.1039135404203012,-0.1104485549964852,0.32041037036827635
In-Sample (2010-2019),hml,VMP,0.0187064619750475,0.11546572157652897,0.16200879117746764,0.46207380150905286
In-Sample (2010-2019),rmw,Original,-0.004225820358945799,0.13782335530103054,-0.030661133954516355,0.5414989833832772
In-Sample (2010-2019),rmw,VMP,0.06333705372427795,0.15446999463583863,0.4100281991566995,0.6336590766457878
In-Sample (2010-2019),cma,Original,-0.006409921513656608,0.08786912286591242,-0.07294850915307415,0.3292217693779286
In-Sample (2010-2019),cma,VMP,0.06316385820905589,0.12471071415404926,0.5064830126065396,0.43021788896229285
In-Sample (2010-2019),umd,Original,-0.006354017333295112,0.15525792338494152,-0.0409255591905681,0.6232864809148214
In-Sample (2010-2019),umd,VMP,0.12086026122009033,0.1902849985055094,0.6351539121282386,0.5388621325017622
Out-of-Sample (2020-2025),mkt_rf,Original,0.08138905686059562,0.19509521053428763,0.41717608872972123,0.3456758643867941
Out-of-Sample (2020-2025),mkt_rf,VMP,-0.05108578519694671,0.3383542384379085,-0.1509831395427354,0.8337500480451298
Out-of-Sample (2020-2025),smb,Original,0.08130916470965745,0.1588300936873913,0.5119254344185542,0.32864439183754257
Out-of-Sample (2020-2025),smb,VMP,0.000753580455912022,0.10478541323226266,0.007191654187989594,0.310772854699194
Out-of-Sample (2020-2025),hml,Original,0.0338551809487247,0.12630087678953061,0.2680518283744095,0.2489500344456569
Out-of-Sample (2020-2025),hml,VMP,0.02546064071634693,0.08079828550126684,0.3151136259685576,0.23690238286649482
Out-of-Sample (2020-2025),rmw,Original,-0.018013756062696663,0.13271479124685742,-0.13573284404441402,0.45489472829803623
Out-of-Sample (2020-2025),rmw,VMP,0.0409578774362605,0.12966371080314332,0.31587772077912485,0.3557799650749254
Out-of-Sample (2020-2025),cma,Original,0.006150306840034831,0.13186865950625035,0.046639640253136244,0.3932938458094809
Out-of-Sample (2020-2025),cma,VMP,-0.01445786188128742,0.08021895161591121,-0.18023000288649677,0.294571726620136
Out-of-Sample (2020-2025),umd,Original,0.03685294828476052,0.18595038819312676,0.19818699300850776,0.5224016640031005
Out-of-Sample (2020-2025),umd,VMP,0.07742334357150364,0.13538279083992386,0.5718846767093813,0.38328642063008
