Period,Window,Factor,Alpha_Ann,t_stat,p_value,Beta,R_squared
Crash_2018 (贸易战),21d,hml,0.10913931176939336,2.946293567601894,0.003216070081131206,0.6802476787732825,0.8003435118682818
Crash_2018 (贸易战),21d,rmw,0.15278453638144926,2.1757367378641517,0.029574951472566967,0.6818000613980082,0.7102035890043724
Crash_2018 (贸易战),21d,cma,0.04103145808423742,1.2089024129606518,0.22670033903694775,0.7080948337761974,0.8082665893497115
Crash_2018 (贸易战),21d,umd,0.25165945735959416,2.6108076331182093,0.009032868830086074,0.7854490135844416,0.6640481718318745
Crash_2022 (俄乌/疫情),21d,mkt_rf,-0.35526731462548267,-3.012033776868386,0.0025950372090578523,1.092957149549834,0.7883881488299929
Crash_2022 (俄乌/疫情),21d,smb,0.0013103761826612412,0.04779701023739672,0.9618780193198306,0.5302556283038082,0.8497347260193361
Crash_2022 (俄乌/疫情),21d,hml,0.024705354070333127,0.9619345108795458,0.33608250161672504,0.38462117972519927,0.8022731298579424
Crash_2022 (俄乌/疫情),21d,rmw,-0.03830647982566928,-0.8265757603946332,0.40847756096606946,0.9266697147762858,0.8151840300490566
Crash_2022 (俄乌/疫情),21d,cma,0.0073065384238137675,0.32968819725050463,0.741635572815645,0.369927448447073,0.831937219305381
Crash_2022 (俄乌/疫情),21d,umd,-0.027916475272579813,-0.5864099764493145,0.5576000416782319,0.8015986991675799,0.8559842279478493
Full (2005-2025),63d,mkt_rf,-0.009710367790155348,-0.21471845644475204,0.8299868320217136,0.693070414878366,0.5190445328713587
Full (2005-2025),63d,smb,-0.03153706220744929,-1.404358957485721,0.16021198603601516,0.8068558891678841,0.6613346439429781
Full (2005-2025),63d,hml,0.007080463636079049,0.42067987357205594,0.6739888597626131,0.7784790473206371,0.6354074395858602
Full (2005-2025),63d,rmw,0.0175537160406838,0.8350818745920596,0.40367161125306394,0.8105303792847542,0.662420333089672
Full (2005-2025),63d,cma,0.001858786548590314,0.11829023630710819,0.9058376933825096,0.7661287093214431,0.6511398156489039
Full (2005-2025),63d,umd,0.06493698105307281,2.9075037477488266,0.003643259787386568,0.8061837581302834,0.7029399065185504
In-Sample (2010-2019),63d,mkt_rf,0.018004102505118504,0.30862858637475216,0.7576040729548446,0.7592107389851599,0.5669360769984664
In-Sample (2010-2019),63d,smb,-0.04009878661030334,-1.1577517063531648,0.246965376546738,1.024164955316055,0.6986871279416837
In-Sample (2010-2019),63d,hml,0.012239790204604754,0.4572667293926325,0.6474793404857956,0.862078825508445,0.6369647370581195
In-Sample (2010-2019),63d,rmw,0.023901219688012062,0.6882559549132492,0.49129161294923274,0.8341049575962637,0.6061129127675629
In-Sample (2010-2019),63d,cma,0.04186105285271435,1.8249823035343054,0.06800369987039837,1.088616952399542,0.6926676176269453
In-Sample (2010-2019),63d,umd,0.09412498126434753,2.522512499165604,0.01165198091671758,0.91623731498353,0.6636946443014928
Out-of-Sample (2020-2025),63d,mkt_rf,-0.1492430668133037,-2.1667349420594064,0.030255070635089504,1.4822982488759013,0.7813221692707301
